epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3445,1.86435,3.76578,1.91492,0.19394,0.57314,0.21125,0.10911,1.53132,2.4515,1.49929,0.000369254,0.000369254,0.000369254
2,55.6986,1.64071,2.85741,1.59676,0.36314,0.40413,0.23656,0.10916,1.50473,2.32117,1.48765,0.000737146,0.000737146,0.000737146
3,81.6441,1.64118,2.65684,1.59509,0.20721,0.36634,0.2294,0.09659,1.59794,2.1854,1.62455,0.00110259,0.00110259,0.00110259
4,107.469,1.59225,2.43123,1.56947,0.19571,0.48893,0.28627,0.14713,1.51211,1.96797,1.52448,0.0011,0.0011,0.0011
5,133.228,1.59258,2.29792,1.59906,0.21037,0.57717,0.34871,0.16634,1.62142,1.84601,1.72941,0.00109633,0.00109633,0.00109633
6,159.087,1.5611,2.20097,1.59704,0.24788,0.50907,0.37368,0.19786,1.50498,1.73882,1.52757,0.00109267,0.00109267,0.00109267
7,185.318,1.55215,2.12497,1.58294,0.27186,0.6208,0.42953,0.2281,1.55184,1.65169,1.58361,0.001089,0.001089,0.001089
8,211.065,1.54817,2.07567,1.56979,0.35829,0.70075,0.47362,0.25208,1.44515,1.63431,1.54805,0.00108534,0.00108534,0.00108534
9,237.127,1.51578,1.98325,1.53998,0.28493,0.55258,0.44345,0.2345,1.51201,1.76284,1.54995,0.00108167,0.00108167,0.00108167
10,263.251,1.50476,1.95007,1.54629,0.43539,0.69585,0.50688,0.27835,1.47652,1.58447,1.5422,0.001078,0.001078,0.001078
11,289.307,1.51893,1.89821,1.56972,0.48161,0.71145,0.56831,0.28991,1.53896,1.51794,1.59306,0.00107434,0.00107434,0.00107434
12,315.059,1.4993,1.88468,1.55166,0.36559,0.76088,0.51029,0.26769,1.53853,1.48271,1.55632,0.00107067,0.00107067,0.00107067
13,340.766,1.49288,1.82947,1.54892,0.42395,0.66812,0.58484,0.29449,1.56931,1.62344,1.6459,0.001067,0.001067,0.001067
14,367.175,1.4753,1.78895,1.53965,0.55611,0.48307,0.53123,0.25608,1.6068,1.4998,1.65892,0.00106334,0.00106334,0.00106334
15,393.268,1.47033,1.73186,1.53721,0.4614,0.75385,0.56638,0.31476,1.50913,1.36724,1.56562,0.00105967,0.00105967,0.00105967
16,419.467,1.4504,1.71763,1.5441,0.3223,0.69498,0.52889,0.29944,1.52525,1.42396,1.60581,0.00105601,0.00105601,0.00105601
17,445.489,1.46012,1.68655,1.54023,0.45653,0.64533,0.54862,0.28896,1.52081,1.50136,1.66002,0.00105234,0.00105234,0.00105234
18,471.527,1.43692,1.61856,1.51067,0.48481,0.77198,0.65034,0.36114,1.49131,1.25484,1.56548,0.00104867,0.00104867,0.00104867
19,497.831,1.42892,1.61707,1.51404,0.56133,0.69407,0.72735,0.37182,1.61975,1.22383,1.70011,0.00104501,0.00104501,0.00104501
20,524.052,1.45777,1.5823,1.54784,0.50441,0.671,0.6565,0.35619,1.5567,1.30912,1.64935,0.00104134,0.00104134,0.00104134
21,550.418,1.43009,1.59897,1.51598,0.44076,0.61026,0.55634,0.28834,1.59825,1.42227,1.70416,0.00103767,0.00103767,0.00103767
22,576.433,1.42828,1.56433,1.52422,0.4826,0.76454,0.6466,0.33315,1.60753,1.28959,1.6488,0.00103401,0.00103401,0.00103401
23,602.35,1.45164,1.56863,1.5382,0.6082,0.63569,0.64195,0.34302,1.57696,1.25181,1.60382,0.00103034,0.00103034,0.00103034
24,628.617,1.4267,1.56601,1.51211,0.45341,0.5905,0.59986,0.31153,1.537,1.33752,1.55869,0.00102668,0.00102668,0.00102668
25,654.821,1.40613,1.53358,1.5112,0.50858,0.80218,0.65793,0.36554,1.53863,1.2516,1.58964,0.00102301,0.00102301,0.00102301
